Parameters: V_min=1, V_max=30, V_step=0.25 | R_min=0, R_max=1000, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001, (Increasing V_ext)
V_ext,R_ext,spike_count,x_min,x_max,x_f,T'_f,V_f,V'_f
27.5,50,0,0.637853996582043,0.638225157507264,0.638224977135241,-1.90436158561053,18.4566514609834,50.5763386513994
27.75,50,0,0.638224977161122,0.638593940609591,0.638593759727275,-1.94477390222107,18.6432505295399,50.982375249604
28,50,0,0.638593759753153,0.638960565438321,0.638960384096601,-1.98564074654106,18.8300576064111,51.3876051895709
28.25,50,0,0.638960384122475,0.639325070690336,0.639324888939217,-2.02696252885176,19.0170714845426,51.7920306173769
28.5,50,0,0.639324888965087,0.639687494032568,0.639687311921167,-2.06873964690845,19.2042909763021,52.1956536472825
28.75,50,0,0.639687311947035,0.640047872138696,0.640047689715246,-2.11097248611826,19.3917149129905,52.5984763624648
29,50,0,0.64004768974111,0.640406240724211,0.640406058036046,-2.15366141970122,19.5793421443698,53.0005008157281
29.25,50,0,0.640406058061906,0.640762634579941,0.640762451673493,-2.19680680885369,19.767171538207,53.4017290301921
29.5,50,0,0.64076245169935,0.641117087604126,0.641116904524922,-2.2404090029066,19.9552019798339,53.8021629999561
29.75,50,0,0.641116904550776,0.641469632833102,0.641469449625766,-2.28446833948013,20.1434323717211,54.2018046907434
30,50,0,0.641469449651616,0.641820302470693,0.641820119178944,-2.3289851446346,20.3318616330664,54.6006560405247
1,100,0,-0.949888840179386,-0.949888840031207,-0.949888840031207,0.000912877335727916,0.9319745178197,-0.528316658750053
1.25,100,0,-0.949888840005011,-0.947199639784639,-0.947199639784639,0.00144938000398993,1.16317492307038,-0.673284759637634
1.5,100,0,-0.94719963975843,-0.94342839263422,-0.94342839263422,0.0021339654211293,1.39272142600265,-0.830050626778626
1.75,100,0,-0.943428392607997,-0.936963918661208,-0.936963918661208,0.00301521804433434,1.61843518918684,-1.01394779835818
2,100,5,-0.955763489556054,0.0749507683844828,-0.943922757666602,0.00212044211546615,1.36838846170141,-0.489162301736825
2.25,100,8,-0.955668217480938,0.0644675095776986,-0.943755524403389,0.00213031336592093,1.37722106285323,-0.46453484485257
2.5,100,10,-0.955571184814991,0.0658619940667218,-0.935756723646253,0.00325152841207559,1.64687514785696,-0.593345326928187
