Parameters: V_min=100, V_max=1000, V_step=10 | R_min=200, R_max=1500, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=600, dt=5e-05, (Increasing V_ext)
V_ext,R_ext,burst_freq,avg_ibi,intra_burst_freq,x_min,x_max,x_f,T'_f,V_f,V'_f
990,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1000,200,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
100,250,0,0,0,0.634416698902571,0.634416698902571,0.634416698902571,5.86512819510611,28.3375993046984,169.219708079143
110,250,0,0,0,0.634416699163395,0.639090360425198,0.636642757947081,7.0286870778277,31.5873817576308,187.63084839145
120,250,0,0,0,0.636642758207802,0.641318206455614,0.638522395457794,8.29300397422637,34.8449808149347,206.047447059265
130,250,0,0,0,0.638522395718426,0.643267102481845,0.64007530370264,9.66057387742064,38.0963045918168,224.424882223492
140,250,0,0,0,0.640075303963196,0.644959429925922,0.641305097825972,11.1356998491465,41.3246456826217,242.710598398152
150,250,0,0,0,0.641305098086467,0.646409162138625,0.642197607837169,12.7251857791293,44.5088538009563,260.837721897783
160,250,0,0,0,0.641855909949841,0.64762343452797,0.64271493593902,14.4395370370686,47.6201713605452,278.713971878623
170,250,0,0,0,0.641192977402853,0.648604501496272,0.642781231086083,16.2952234569077,50.6160664670827,296.19981262793
180,250,0,0,0,0.638766467374794,0.64935460581837,0.642247692663444,18.3195113753433,53.4262841421908,313.058261171908
190,250,0.00166666666698554,0,2.48853684614699,-0.995418698331264,0.708200519300188,0.672199427227192,9.30084149059311,71.2345278969307,347.592515474132
200,250,0.00166666666698554,0,2.72056145001505,-0.997090231259468,0.718864698385155,-0.886217912215816,50.7501652459974,85.7840659494848,-154.0653474513
210,250,0.00333333333397108,60.1480000014349,3.0385593176512,-0.998258472586131,0.728328094498225,0.698897268501332,-10.3148837843058,87.1558409297127,323.751660625206
220,250,0.00166666666698554,0,3.02280627779101,-0.998772468812348,0.734617441380062,0.674535912587798,16.6342001254006,86.279395429401,433.526109492936
230,250,0.00333333333397108,84.8564500027195,3.13525840678548,-0.999726735477685,0.742209134483804,0.682169124483294,13.7800235874744,93.8436779257643,453.317638444782
